period,duration_millionsyears,vol_platform (10^6 km^3),vol_geosyncline (10^6 km^3),vol_continents (10^6 km^3),perc_carbonate,perc_mixed_carb_clastic,perc_marine_clastic,perc_coal,perc_evaporite,perc_terrestrial_clastic,perc_geosyncline_submarine_volcaninc,perc_platform_terrestrial_trap,perc_glacial,perc_cherty
Neogene Pliocene,4,2.56,6.96,9.52,1.3,1.2,28.1,3.4,0.1,57.5,2.3,2.7,NaN,NaN
Neogene Miocene,19,5.07,13.44,18.51,5.4,10.2,32.6,3.8,2.2,34.8,1.6,4.8,NaN,0.2
Paleogene Oligocene,12,3.08,6.5,9.58,4.6,3.8,50.2,5.9,0.3,27.7,3.1,2.7,NaN,NaN
Paleogene Eocene,21,8.28,12.27,20.55,7.3,27.4,28.6,8.1,1,12.1,8.3,2.9,NaN,2
Paleogene Paleocene,8,3.32,3.11,6.43,12,15.4,27.8,4.2,0.4,26.2,5.1,2.4,NaN,0.3
Upper Cretaceous,34,19.06,28.88,47.94,9.3,22.9,24.3,5.6,0.2,18.7,7.5,2.1,NaN,2.6
Lower Cretaceous,32,20.69,30.47,51.16,9.7,12.5,31.2,3.4,1,24.6,9.2,2.5,NaN,2.6
Upper Jurassic ,21,9.33,15.89,25.22,13.9,23.1,34.1,3.2,2.9,13.5,5.7,1.2,NaN,NaN
Middle Jurassic,15,7.8,14.53,22.33,8.1,23,37.2,4.2,0.1,18.3,8.9,0.1,NaN,NaN
Lower Jurassic,17,6.78,14.25,21.03,10.8,19.6,35.2,3.4,0.1,21.6,8.7,NaN,NaN,NaN
Uper Triassic,25,10.7,23.06,33.76,5.1,17.6,21.5,0.6,1.3,30.8,13.2,6.9,NaN,0.7
Middle Triassic,10,1.85,11.16,13.01,10.7,16.1,31.1,0.4,0.1,11.4,27.3,0.6,NaN,NaN
Lower Triassic ,15,4.81,6.5,11.31,0.6,27.4,22.9,0.3,0.9,33.4,10.7,3.4,NaN,NaN
Upper Permian,20,4.79,13.29,18.08,0.2,19.8,24.7,4.1,2,34.3,12.9,NaN,1.1,NaN
Lower Permian,25,8.55,25.03,33.58,21.4,23.4,8.8,3.5,4.1,9.6,21.9,NaN,3.8,0.1
Upper Carboniferous,40,5.76,23.38,32.14,13.9,27.7,14.4,11.2,0.1,10.2,11.1,0.7,10.4,NaN
Lower Carboniferous,25,4.77,28.81,33.58,27.8,27.7,8.7,2.6,0.5,5.5,24.8,NaN,NaN,NaN
Upper Devonian,15,6,25.8,31.8,6.3,35.9,16,NaN,0.4,11.7,27.5,NaN,NaN,NaN
Middle Devonian,16,5.23,26.83,32.06,3.9,40.3,20.6,NaN,0.6,9.1,21.4,NaN,NaN,NaN
Lower Devonian,24,6.44,20.7,27.14,0.8,25.6,38.3,NaN,0.1,15.8,15.8,NaN,NaN,NaN
Silurian,35,5.7,23.3,29,11.7,14.2,59.3,NaN,0.4,4.7,7.7,NaN,0.3,1.3
Ordovician,55,9.17,35.02,44.19,12.1,16.8,50.6,NaN,0.1,4.2,14.4,NaN,0.1,1.6
Upper Cambrian,25,6.03,13.35,19.38,22,29.7,39.1,NaN,0.1,2.7,6.3,NaN,NaN,NaN
Middle Cambrian,30,5.39,16.56,21.95,24.3,25.7,37,NaN,1.4,2.8,8.8,NaN,NaN,NaN
Lower Cambrian,25,7.81,18.23,26.04,21.4,25.4,32.3,NaN,4.2,3.4,10.9,1.5,NaN,0.9